RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_BEGIN_DE,TOUR_PD_VALUE,TOUR_COM_NMPR_NM,COM_ONE_TY,COM_TWO_TY,COM_THREE_TY,COM_FOUR_TY,COM_FIVE_TY,COM_SIX_TY,TOUR_PURPS_NM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
"53366303","20250331","충청북도","단양군","20250301","2박 3일","5명 이상","배우자","부모/형제/자녀 등 가족","친구",,,,"자연 풍경 감상 (산/ 바다 등)","F","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","500~700만원 미만"
"53366449","20250331","충청남도","홍성군","20241226","4박 5일","2명","배우자",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","50대","기혼","신혼기(자녀 없음)","사무/기술직","700만원 이상"
"53366456","20250331","대구시","모름","20241202","2박 3일","5명 이상","배우자","부모/형제/자녀 등 가족",,,,,"자연 풍경 감상 (산/ 바다 등)","F","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","전업주부","모름"
"53366685","20250331","강원도","정선군","20250221","2박 3일","5명 이상","배우자","부모/형제/자녀 등 가족","직장동료",,,,"식도락 (지역 특색/제철 음식)","M","50대","기혼","자녀 성인(막내 대학)","사무/기술직","700만원 이상"
"53366977","20250331","경상북도","울릉군","20250326","3박 4일","2명","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","50대","기혼","자녀 성인(막내 대학)","기능/숙련/일반작업직","500~700만원 미만"
"53367274","20250331","서울시","모름","20250215","2박 3일","3명","친구",,,,,,"취미-운동 활동 (등산/ 낚시/ 골프 등)","F","20대","미혼","미혼","기타/무직","모름"
"53367843","20250331","경상남도","진주시","20250227","1박 2일","3명","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","50대","기혼","신혼기(자녀 없음)","사무/기술직","300~500만원 미만"
"53367874","20250331","서울시","모름","20250226","1박 2일","2명","배우자",,,,,,"휴식","F","30대","기혼","신혼기(자녀 없음)","사무/기술직","500~700만원 미만"
"53368199","20250331","경상남도","의령군","20241214","1박 2일","4명","친구",,,,,,"친지/친구/친척 만나기","F","50대","기혼","자녀 성인(막내 대학)","기능/숙련/일반작업직","모름"
"53368372","20250331","충청북도","충주시(구 청원군 포함)","20250319","2박 3일","혼자서","혼자서",,,,,,"친지/친구/친척 만나기","M","60대 이상","기혼","자녀 성인(막내 대학)","기타/무직","500~700만원 미만"
"53368677","20250331","서울시","모름","20250301","1박 2일","2명","친구",,,,,,"문화-예술 즐기기 (미술관/ 공연 등)","F","20대","미혼","미혼","사무/기술직","모름"
"53368695","20250331","제주도","서귀포시(시내동)/애월읍/제주시(시내동)/표선면/한림읍","20250313","3박 4일","2명","친구",,,,,,"휴식","M","30대","미혼","미혼","사무/기술직","모름"
"53368727","20250331","인천시","모름","20241231","1박 2일","4명","배우자","부모/형제/자녀 등 가족",,,,,"휴식","M","50대","기혼","자녀 성인(막내 대학)","사무/기술직","700만원 이상"
"53369114","20250331","충청남도","세종특별자치시","20250314","3박 4일","2명","부모/형제/자녀 등 가족",,,,,,"친지/친구/친척 만나기","M","20대","미혼","미혼","대학/대학원생","모름"
"53369125","20250331","전라북도","고창군","20241231","1박 2일","혼자서","혼자서",,,,,,"식도락 (지역 특색/제철 음식)","F","50대","미혼","미혼","판매/서비스직","300만원 미만"
"53369320","20250331","강원도","속초시","20250118","2박 3일","3명","부모/형제/자녀 등 가족",,,,,,"식도락 (지역 특색/제철 음식)","M","50대","기타","자녀 성인(막내 대학)","기능/숙련/일반작업직","모름"
"53369322","20250331","부산시","모름","20250131","5박 6일","3명","부모/형제/자녀 등 가족",,,,,,"친지/친구/친척 만나기","F","50대","기타","자녀 성인(막내 대학)","사무/기술직","300~500만원 미만"
"53369535","20250331","부산시","모름","20250222","1박 2일","2명","배우자",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","30대","기혼","신혼기(자녀 없음)","사무/기술직","300~500만원 미만"
"53369566","20250331","경기도","용인시","20250322","1박 2일","모름","배우자","부모/형제/자녀 등 가족","친구",,,,"친지/친구/친척 만나기","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","경영/관리/전문직","700만원 이상"
"53369654","20250331","울산시","모름","20250113","3박 4일","5명 이상","부모/형제/자녀 등 가족",,,,,,"친지/친구/친척 만나기","F","60대 이상","기혼","자녀 독립(막내 결혼)","전업주부","500~700만원 미만"
"53369765","20250331","전라남도","여수시","20250227","1박 2일","3명","친구",,,,,,"친지/친구/친척 만나기","F","60대 이상","기타","자녀 독립(막내 결혼)","기타/무직","300만원 미만"
"53369873","20250331","경기도","수원시","20250321","2박 3일","2명","친구",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","30대","미혼","미혼","사무/기술직","모름"
"53369923","20250331","충청남도","당진시","20250329","1박 2일","5명 이상","부모/형제/자녀 등 가족",,,,,,"식도락 (지역 특색/제철 음식)","M","30대","기타","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300만원 미만"
"53370419","20250331","경기도","수원시","20250205","5박 6일","2명","배우자",,,,,,"역사-유적 감상 (유적지/ 박물관 등)","M","60대 이상","기혼","자녀 성인(막내 대학)","사무/기술직","300~500만원 미만"
"53370579","20250331","서울시","모름","20250208","2박 3일","3명","부모/형제/자녀 등 가족",,,,,,"친지/친구/친척 만나기","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","500~700만원 미만"
"53371175","20250331","충청북도","괴산군/증평군/청주시","20250208","2박 3일","2명","배우자",,,,,,"친지/친구/친척 만나기","M","60대 이상","기타","자녀 독립(막내 결혼)","기능/숙련/일반작업직","300~500만원 미만"
"53371389","20250331","부산시","모름","20250131","2박 3일","3명","친구",,,,,,"식도락 (지역 특색/제철 음식)","F","50대","미혼","미혼","사무/기술직","700만원 이상"
"53371443","20250331","경기도","가평군","20250129","1박 2일","4명","부모/형제/자녀 등 가족",,,,,,"친지/친구/친척 만나기","F","40대","기혼","자녀 성장(막내 중고생)","사무/기술직","모름"
"53371960","20250331","제주도","대정읍/서귀포시(시내동)/성산읍/애월읍/제주시(시내동)","20250213","3박 4일","2명","연인",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","20대","미혼","미혼","사무/기술직","모름"
"53372225","20250331","충청남도","공주시/청양군","20250315","2박 3일","3명","직장동료",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","50대","기혼","자녀 성인(막내 대학)","사무/기술직","300~500만원 미만"
"53372276","20250331","강원도","철원군","20250208","1박 2일","4명","배우자","친구",,,,,"자연 풍경 감상 (산/ 바다 등)","F","50대","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
"53372342","20250331","경상북도","영천시","20250317","4박 5일","5명 이상","부모/형제/자녀 등 가족",,,,,,"휴식","F","20대","미혼","미혼","사무/기술직","300~500만원 미만"
"53372432","20250331","강원도","평창군","20241207","1박 2일","4명","친구",,,,,,"식도락 (지역 특색/제철 음식)","F","20대","미혼","미혼","사무/기술직","모름"
"53372622","20250331","제주도","제주시(시내동)","20241202","4박 5일","4명","배우자","부모/형제/자녀 등 가족",,,,,"휴식","F","30대","미혼","미혼","사무/기술직","300만원 미만"
"53372813","20250331","강원도","태백시","20250228","2박 3일","3명","친구",,,,,,"휴식","M","20대","미혼","미혼","대학/대학원생","모름"
"53372920","20250331","부산시","모름","20250315","1박 2일","2명","친구",,,,,,"친지/친구/친척 만나기","F","20대","미혼","미혼","대학/대학원생","300~500만원 미만"
"53373239","20250331","강원도","철원군","20250322","1박 2일","2명","배우자",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","50대","기혼","자녀 성인(막내 대학)","사무/기술직","700만원 이상"
"53373345","20250331","울산시","모름","20241207","1박 2일","5명 이상","부모/형제/자녀 등 가족",,,,,,"친지/친구/친척 만나기","F","40대","미혼","미혼","사무/기술직","모름"
"53373374","20250331","부산시","모름","20250308","1박 2일","2명","연인",,,,,,"식도락 (지역 특색/제철 음식)","M","30대","미혼","미혼","사무/기술직","500~700만원 미만"
"53373521","20250331","경기도","화성시","20250118","1박 2일","2명","연인",,,,,,"친지/친구/친척 만나기","F","30대","미혼","미혼","사무/기술직","모름"
"53373988","20250331","강원도","홍천군","20250124","3박 4일","3명","부모/형제/자녀 등 가족",,,,,,"친지/친구/친척 만나기","M","50대","기혼","자녀 성인(막내 대학)","사무/기술직","300~500만원 미만"
"53374166","20250331","부산시","모름","20241225","3박 4일","2명","배우자",,,,,,"식도락 (지역 특색/제철 음식)","F","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","전업주부","모름"
"53374333","20250331","충청남도","논산시","20250209","1박 2일","2명","연인",,,,,,"역사-유적 감상 (유적지/ 박물관 등)","M","60대 이상","기혼","자녀 성인(막내 대학)","경영/관리/전문직","500~700만원 미만"
"53374571","20250331","서울시","모름","20250110","2박 3일","2명","배우자",,,,,,"문화-예술 즐기기 (미술관/ 공연 등)","F","50대","기혼","자녀 성인(막내 대학)","전업주부","700만원 이상"
"53374583","20250331","서울시","모름","20241224","1박 2일","4명","부모/형제/자녀 등 가족",,,,,,"놀이/테마공원-온천 등 즐기기","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
"53375148","20250331","제주도","서귀포시(시내동)/제주시(시내동)","20250214","4박 5일","5명 이상","친구",,,,,,"식도락 (지역 특색/제철 음식)","M","40대","기혼","자녀 성장(막내 중고생)","사무/기술직","500~700만원 미만"
"53375691","20250331","경상북도","예천군","20250301","1박 2일","3명","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","30대","기혼","신혼기(자녀 없음)","사무/기술직","700만원 이상"
"53375779","20250331","인천시","모름","20250104","1박 2일","3명","배우자","부모/형제/자녀 등 가족",,,,,"도시 경관 감상 (건축물/ 거리 등)","M","50대","기혼","자녀 성인(막내 대학)","사무/기술직","700만원 이상"
"53376268","20250331","경상북도","경주시/포항시","20250208","1박 2일","2명","연인",,,,,,"기타","M","30대","미혼","미혼","사무/기술직","모름"
"53376290","20250331","강원도","강릉시/고성군/동해시","20250207","1박 2일","5명 이상","부모/형제/자녀 등 가족",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 성인(막내 대학)","전업주부","500~700만원 미만"
"53376457","20250331","전라남도","순천시","20250221","3박 4일","2명","배우자",,,,,,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 독립(막내 결혼)","기타/무직","300만원 미만"
"53376623","20250331","충청남도","보령시","20241220","4박 5일","3명","배우자","부모/형제/자녀 등 가족",,,,,"자연 풍경 감상 (산/ 바다 등)","F","40대","기혼","자녀 성인(막내 대학)","기타/무직","300~500만원 미만"
"53376719","20250331","울산시","모름","20250117","2박 3일","4명","배우자","부모/형제/자녀 등 가족",,,,,"휴식","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","기능/숙련/일반작업직","500~700만원 미만"
"53376734","20250331","제주도","대정읍/서귀포시(시내동)","20250206","3박 4일","2명","연인",,,,,,"휴식","F","20대","미혼","미혼","사무/기술직","모름"
"53376837","20250331","경상북도","경주시","20250126","1박 2일","2명","배우자",,,,,,"도시 경관 감상 (건축물/ 거리 등)","M","40대","기혼","신혼기(자녀 없음)","사무/기술직","500~700만원 미만"
"53377040","20250331","전라남도","여수시","20250322","1박 2일","2명","연인",,,,,,"식도락 (지역 특색/제철 음식)","F","20대","미혼","미혼","사무/기술직","모름"
"53377293","20250331","강원도","평창군","20241226","1박 2일","2명","배우자",,,,,,"자연 풍경 감상 (산/ 바다 등)","M","60대 이상","기혼","자녀 성인(막내 대학)","사무/기술직","700만원 이상"
"53377413","20250331","부산시","모름","20250317","1박 2일","5명 이상","친구","직장동료",,,,,"식도락 (지역 특색/제철 음식)","F","50대","기혼","자녀 성인(막내 대학)","사무/기술직","모름"
"53377416","20250331","서울시","모름","20250225","1박 2일","2명","연인",,,,,,"놀이/테마공원-온천 등 즐기기","F","20대","미혼","미혼","대학/대학원생","모름"
