"RESPOND_ID","EXAMIN_BEGIN_DE","TOUR_CTPRVN_NM","TOUR_SIGNGU_NM","TOUR_BEGIN_DE","TOUR_PD_VALUE","TOUR_COM_NMPR_NM","COM_ONE_TY","COM_TWO_TY","COM_THREE_TY","COM_FOUR_TY","COM_FIVE_TY","COM_SIX_TY","TOUR_PURPS_NM","SEXDSTN_FLAG_CD","AGRDE_FLAG_NM","MRRG_AT_NM","CHLDRN_TY_NM","OCCP_NM","HSHLD_INCOME_DGREE_NM"
53354093,20250317,"서울시","모름",20250208,"1박 2일","4명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"문화-예술 즐기기 (미술관/ 공연 등)","M","50대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
53354162,20250317,"서울시","모름",20250203,"2박 3일","3명","부모/형제/자녀 등 가족","친구",NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","20대","미혼","미혼","판매/서비스직","모름"
53354246,20250317,"전라북도","익산시",20241224,"1박 2일","2명","친구",NA,NA,NA,NA,NA,"휴식","M","50대","미혼","미혼","기능/숙련/일반작업직","300~500만원 미만"
53354286,20250317,"강원도","삼척시",20250113,"6박 7일 이상","혼자서","혼자서",NA,NA,NA,NA,NA,"휴식","F","50대","기타","자녀 성인(막내 대학)","기타/무직","300~500만원 미만"
53354306,20250317,"강원도","동해시",20250301,"1박 2일","3명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 독립(막내 결혼)","사무/기술직","700만원 이상"
53354307,20250317,"강원도","고성군/속초시/인제군",20250131,"1박 2일","혼자서","혼자서",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","60대 이상","기혼","자녀 성인(막내 대학)","자영업","700만원 이상"
53354365,20250317,"전라북도","전주시",20250207,"2박 3일","2명","배우자",NA,NA,NA,NA,NA,"놀이/테마공원-온천 등 즐기기","M","30대","기혼","신혼기(자녀 없음)","자영업","700만원 이상"
53354619,20250317,"인천시","모름",20250308,"1박 2일","2명","배우자",NA,NA,NA,NA,NA,"기타","F","40대","기혼","자녀 성장(막내 중고생)","전업주부","700만원 이상"
53354661,20250317,"전라남도","광양시/여수시",20250314,"2박 3일","4명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"축제-행사 참여","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
53355390,20250317,"충청남도","태안군",20250301,"3박 4일","2명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"취미-운동 활동 (등산/ 낚시/ 골프 등)","F","50대","기혼","자녀 성인(막내 대학)","자영업","700만원 이상"
53355594,20250317,"제주도","대정읍/안덕면/제주시(시내동)",20250315,"2박 3일","2명","연인",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","30대","미혼","미혼","기타/무직","모름"
53355631,20250317,"강원도","강릉시/동해시/속초시",20241224,"6박 7일 이상","2명","배우자",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","60대 이상","기혼","자녀 독립(막내 결혼)","사무/기술직","700만원 이상"
53356447,20250317,"경상북도","경주시",20250208,"1박 2일","4명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"역사-유적 감상 (유적지/ 박물관 등)","M","40대","기혼","자녀 성장(막내 중고생)","사무/기술직","500~700만원 미만"
53356681,20250317,"강원도","강릉시",20241207,"1박 2일","2명","연인",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","30대","미혼","미혼","사무/기술직","300~500만원 미만"
53356900,20250317,"충청남도","천안시",20241221,"1박 2일","모름","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","50대","기혼","자녀 성장(막내 중고생)","사무/기술직","700만원 이상"
53356938,20250317,"강원도","강릉시",20250124,"1박 2일","4명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","50대","기혼","자녀 성장(막내 중고생)","사무/기술직","500~700만원 미만"
53356949,20250317,"충청북도","옥천군",20250217,"1박 2일","5명 이상","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","50대","기혼","자녀 성장(막내 중고생)","자영업","700만원 이상"
53357076,20250317,"인천시","모름",20250302,"1박 2일","4명","연인","친구",NA,NA,NA,NA,"휴식","F","50대","기혼","신혼기(자녀 없음)","사무/기술직","700만원 이상"
53357312,20250317,"강원도","양양군",20250215,"1박 2일","2명","배우자",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","40대","기혼","자녀 성인(막내 대학)","사무/기술직","500~700만원 미만"
53357587,20250317,"경상남도","남해군/통영시",20250207,"3박 4일","모름","친구",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","M","60대 이상","기혼","자녀 독립(막내 결혼)","기타/무직","300~500만원 미만"
53357591,20250317,"부산시","모름",20250215,"1박 2일","혼자서","혼자서",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","30대","미혼","미혼","기타/무직","300만원 미만"
53357633,20250317,"대구시","모름",20250214,"2박 3일","3명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","700만원 이상"
53357716,20250317,"경기도","양평군",20241214,"1박 2일","5명 이상","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"휴식","F","20대","기혼","신혼기(자녀 없음)","기타/무직","모름"
53357863,20250317,"강원도","태백시",20250215,"1박 2일","3명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","60대 이상","기혼","자녀 성장(막내 중고생)","사무/기술직","모름"
53358538,20250317,"강원도","강릉시",20250308,"1박 2일","4명","친구",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","50대","기혼","자녀 성인(막내 대학)","자영업","700만원 이상"
53358687,20250317,"부산시","모름",20250224,"4박 5일","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","40대","기혼","자녀 성인(막내 대학)","기능/숙련/일반작업직","300~500만원 미만"
53359275,20250317,"서울시","모름",20250213,"4박 5일","혼자서","혼자서",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","F","50대","기혼","자녀 성인(막내 대학)","사무/기술직","500~700만원 미만"
53359369,20250317,"제주도","서귀포시(시내동)",20241227,"2박 3일","3명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","30대","미혼","미혼","사무/기술직","500~700만원 미만"
53359469,20250317,"서울시","모름",20241224,"4박 5일","4명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"친지/친구/친척 만나기","M","50대","기혼","자녀 성인(막내 대학)","사무/기술직","700만원 이상"
53359609,20250317,"경상남도","창원시/함안군",20241231,"3박 4일","5명 이상","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"놀이/테마공원-온천 등 즐기기","F","30대","기타","자녀 성장(막내 중고생)","사무/기술직","모름"
53359806,20250317,"경상북도","영주시",20241216,"2박 3일","2명","배우자",NA,NA,NA,NA,NA,"역사-유적 감상 (유적지/ 박물관 등)","F","60대 이상","기혼","자녀 독립(막내 결혼)","전업주부","300~500만원 미만"
53359884,20250317,"부산시","모름",20241225,"1박 2일","2명","배우자",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","F","50대","기혼","자녀 성인(막내 대학)","사무/기술직","700만원 이상"
53360049,20250317,"인천시","모름",20250111,"1박 2일","모름","배우자","친구",NA,NA,NA,NA,"휴식","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","판매/서비스직","300~500만원 미만"
53360210,20250317,"전라남도","담양군",20241221,"1박 2일","모름","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","300~500만원 미만"
53360566,20250317,"대구시","모름",20250209,"1박 2일","2명","부모/형제/자녀 등 가족",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","전업주부","700만원 이상"
53360858,20250317,"강원도","홍천군",20241207,"1박 2일","3명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"놀이/테마공원-온천 등 즐기기","F","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","모름"
53361126,20250317,"제주도","서귀포시(시내동)/우도면/제주시(시내동)",20250205,"4박 5일","2명","배우자",NA,NA,NA,NA,NA,"자연 풍경 감상 (산/ 바다 등)","F","60대 이상","기혼","자녀 성인(막내 대학)","판매/서비스직","700만원 이상"
53361258,20250317,"강원도","강릉시",20241214,"1박 2일","3명","배우자","부모/형제/자녀 등 가족",NA,NA,NA,NA,"식도락 (지역 특색/제철 음식)","M","50대","기혼","자녀 성인(막내 대학)","사무/기술직","300~500만원 미만"
